date,name,price
2023-10-20,E10,1.832
2023-10-13,E85,0.999
2023-10-11,SP98,1.822
2023-10-20,SP98,1.888
2023-10-19,E10,1.779
2023-10-18,E10,1.966
2023-10-20,SP95,1.821
2023-10-18,Gazole,1.909
2023-10-20,E85,0.994
2023-10-20,SP98,1.99
2023-10-20,E85,0.982
2023-10-20,E85,0.994
2023-10-13,Gazole,1.949
2023-09-12,E85,1.04
2023-10-20,E10,1.822
2023-10-20,E10,1.819
2023-10-20,Gazole,1.98
2023-10-11,SP98,1.889
2023-10-20,GPLc,1.034
2023-10-19,SP98,2.134
2023-10-20,SP98,1.99
2023-10-20,SP98,1.99
2023-10-19,E85,0.99
2023-10-20,E10,1.787
2023-10-19,SP98,1.999
2023-10-20,Gazole,1.824
2023-09-20,E10,1.999
2023-10-16,SP95,1.959
2023-10-19,SP98,1.909
2023-09-08,SP95,2.156
2023-10-20,E10,1.839
2023-10-20,SP98,1.989
2023-10-19,Gazole,1.839
2023-08-10,SP98,2.039
2023-10-16,SP98,1.879
2023-10-20,Gazole,2.069
2023-10-10,SP95,1.93
2023-10-20,E85,0.994
2023-10-17,SP95,1.829
2023-10-18,SP98,1.959
2023-10-19,Gazole,1.833
2023-09-07,E85,1.244
2023-10-20,SP98,1.99
2023-10-20,E85,0.999
2023-10-18,E85,0.999
2023-10-20,SP95,1.956
2023-10-18,SP95,1.889
2023-10-18,E85,0.998
2023-10-20,E85,1.089
2023-10-14,Gazole,1.99
2023-10-17,E10,1.81
2023-10-20,E10,1.849
2023-10-14,E85,0.998
2023-10-18,Gazole,1.889
2023-10-13,SP98,1.99
2023-10-19,Gazole,1.823
2023-10-13,Gazole,1.95
2023-10-20,SP95,1.825
2023-10-20,Gazole,1.859
2023-10-18,Gazole,1.889
2023-10-20,Gazole,1.829
2023-05-16,GPLc,0.959
2023-10-14,E10,1.78
2023-10-20,SP98,1.931
2023-10-19,SP95,1.782
2023-10-17,E10,1.869
2023-10-20,SP98,1.909
2023-09-13,GPLc,0.969
2023-10-20,SP98,1.99
2023-10-20,SP95,1.948
2023-10-18,SP95,1.869
2023-10-20,SP95,1.8
2023-10-20,GPLc,0.909
2023-07-10,E85,0.999
2023-10-20,E10,1.779
2023-10-19,SP95,1.919
2023-10-20,E85,1.099
2023-10-16,SP98,1.941
2023-10-18,SP98,1.855
2023-10-20,E85,0.994
2023-10-20,SP98,1.99
2023-10-17,Gazole,1.908
2023-10-20,Gazole,1.886
2023-10-20,GPLc,1.034
2023-10-20,SP98,1.919
2023-10-12,Gazole,1.909
2023-10-14,E10,1.849
2023-10-18,E10,2.014
2023-10-20,Gazole,1.827
2023-10-20,Gazole,1.823
2023-10-20,E10,1.811
2023-08-10,Gazole,1.99
2023-10-20,E85,1.031
2023-09-22,Gazole,1.979
2023-10-20,Gazole,1.879
2023-10-20,E85,0.994
2023-10-20,SP98,1.99
2023-10-20,Gazole,1.816
2023-09-15,E85,0.993
2023-10-20,E10,1.825
2023-10-16,E10,1.846
2023-10-20,E10,1.765
2023-10-17,SP98,2.114
2023-10-20,Gazole,1.883
2023-10-19,E10,1.899
2023-10-20,Gazole,1.929
2023-10-19,E10,1.969
2023-10-20,Gazole,1.851
2023-10-20,SP98,1.99
2023-10-20,SP98,1.923
2023-10-11,SP98,1.889
2023-10-20,Gazole,1.873
2023-10-20,Gazole,1.804
2023-10-20,SP98,1.893
2023-10-20,E10,1.741
2023-10-18,SP95,1.96
2023-10-19,E10,1.781
2023-10-20,E10,1.819
2023-10-04,SP95,1.99
2023-10-07,SP98,1.998
2023-10-19,Gazole,1.875
2023-10-19,E10,1.859
2023-10-18,Gazole,1.939
2023-10-20,E10,1.913
2023-10-14,Gazole,1.949
2023-10-20,E10,1.832
2023-10-20,Gazole,1.911
2023-10-19,Gazole,1.949
2023-10-17,E10,1.974
2023-10-20,SP98,1.917
2023-10-20,Gazole,1.958
2023-10-20,SP98,1.99
2023-10-20,Gazole,1.896
2023-10-20,E10,1.806
2023-10-18,SP98,1.981
2023-10-20,Gazole,1.877
2023-10-20,E85,1.089
2023-10-20,SP98,1.929
2023-10-17,SP98,1.899
2023-10-20,E85,0.994
2023-10-19,E10,1.858
2023-10-19,SP98,1.947
2023-07-17,E85,0.998
2023-09-16,SP98,2.119
2023-10-15,E10,1.799
2023-10-16,SP98,1.909
2023-10-20,Gazole,1.864
2023-10-19,SP95,1.829
2023-10-18,E85,1.046
2023-10-20,Gazole,1.849
2023-10-20,Gazole,1.893
2023-10-20,Gazole,1.895
2023-10-19,SP98,2.209
2023-10-13,SP95,1.859
2023-09-06,E85,1.229
2023-10-19,SP98,1.99
2023-10-20,E85,1.059
2023-10-18,SP98,1.939
2023-10-19,Gazole,2.059
2023-10-20,Gazole,1.849
2023-10-19,Gazole,2.014
2023-10-19,E10,1.939
2023-10-20,E85,1.259
2023-10-19,E10,1.793
2023-10-20,Gazole,1.888
2023-10-20,E10,1.719
2023-10-13,SP95,1.893
2023-10-20,GPLc,0.924
2023-10-17,E10,1.849
2023-10-20,SP98,1.891
2023-10-20,E10,1.74
2023-10-19,Gazole,1.878
2023-10-06,SP98,2.1
2023-10-19,Gazole,1.899
2023-10-19,Gazole,1.869
2023-09-26,Gazole,1.931
2023-10-18,SP98,1.85
2023-10-19,SP95,1.87
2023-10-18,Gazole,1.937
2023-10-20,SP98,1.917
2023-10-20,E85,1.159
2023-10-19,Gazole,1.869
2023-10-06,E10,1.903
2023-10-19,SP98,2.089
2023-10-18,SP95,1.879
2023-10-14,E10,1.79
2023-10-09,SP98,2.021
2023-10-20,GPLc,0.949
2023-10-13,SP98,1.92
2023-10-20,E10,1.768
2023-10-16,SP98,1.905
2023-10-20,Gazole,1.9
2023-10-13,SP98,1.869
2023-10-12,Gazole,1.907
2023-10-19,E10,1.989
2023-10-20,E10,1.887
2023-10-20,E10,1.749
2023-09-19,Gazole,1.998
2023-10-10,Gazole,1.889
2023-10-13,E10,1.849
2023-10-16,SP98,1.859
2023-10-20,Gazole,1.99
2023-10-19,Gazole,1.972
2023-10-20,SP98,1.893
2023-10-19,Gazole,1.859
2023-10-20,SP98,1.81
2023-10-20,E10,1.804
2023-10-20,GPLc,0.987
2023-10-19,Gazole,1.878
2023-10-14,GPLc,0.969
2023-09-28,GPLc,0.88
2023-10-20,E10,1.905
2023-10-12,Gazole,1.918
2023-10-10,SP98,2.02
2023-09-20,E10,1.969
2023-10-20,SP98,1.99
2023-10-04,E85,0.99
2023-10-20,Gazole,1.817
2023-10-19,Gazole,1.923
2023-10-20,E85,0.994
2023-10-20,E85,0.994
2023-10-17,E10,1.839
2023-10-17,Gazole,1.836
2023-10-20,Gazole,1.889
2023-10-19,SP95,1.829
2023-10-20,E85,1.149
2023-10-20,E10,1.846
2023-10-16,E10,1.789
2023-10-09,Gazole,1.848
2023-10-17,Gazole,1.879
2023-10-17,Gazole,1.889
2023-10-16,Gazole,1.965
2023-10-18,SP98,1.859
2023-10-17,Gazole,1.899
2023-10-06,E85,0.998
2023-10-17,SP98,1.919
2023-10-18,E10,1.839
2023-08-29,Gazole,1.944
2023-10-17,Gazole,1.845
2023-07-27,E85,1.099
2023-10-20,SP98,1.808
2023-10-09,E85,0.998
2023-10-20,Gazole,1.819
2023-10-17,Gazole,1.923
2023-09-25,GPLc,0.979
2023-10-19,E85,1.259
2023-10-11,Gazole,1.829
2023-10-19,E85,0.994
2023-10-20,SP98,1.856
2023-05-05,Gazole,1.79
2023-10-20,Gazole,1.964
2023-10-19,Gazole,1.909
2023-10-19,E10,1.827
2023-10-20,Gazole,1.879
2023-10-19,Gazole,1.916
2023-10-20,E10,1.935
2023-10-05,SP98,1.899
2023-10-13,Gazole,1.99
2023-10-17,E10,1.839
2023-10-10,Gazole,1.873
2023-10-20,SP98,1.825
2023-08-22,E85,1.148
2023-10-20,E10,1.796
2023-10-19,E10,2.209
2023-10-20,E10,1.775
2023-10-20,Gazole,1.979
2023-10-18,Gazole,2.075
2023-10-07,Gazole,1.889
2023-10-20,E10,1.805
2023-10-18,SP98,2.15
2023-10-19,GPLc,0.88
2023-10-10,SP95,1.939
2023-10-20,SP98,2.023
2023-10-15,Gazole,1.849
2023-10-19,Gazole,1.964
2023-10-20,E10,1.904
2023-10-13,SP98,1.844
2023-10-14,E10,1.799
2023-10-19,SP98,1.849
2023-10-20,SP98,2.127
2023-10-13,SP98,1.945
2023-10-19,Gazole,1.979
2023-10-05,E85,1.189
2023-10-13,SP98,1.869
2023-10-09,SP98,1.959
2023-10-16,E10,1.821
2023-10-20,E10,1.985
2023-07-17,SP95,1.99
2023-10-12,Gazole,1.888
2023-10-19,SP95,1.979
2023-10-20,E10,1.782
2023-10-13,SP98,1.92
2023-10-20,E10,1.835
2023-10-16,Gazole,1.829
2023-10-19,SP98,1.89
2023-10-12,SP98,1.899
2023-10-17,Gazole,1.879
2023-10-10,SP95,1.969
2023-10-12,SP98,1.949
2023-10-17,SP95,1.807
2023-10-17,E10,1.885
2023-10-14,GPLc,0.969
2023-09-06,Gazole,2.0
2023-10-16,Gazole,1.839
2023-10-20,SP98,1.836
2023-10-19,SP95,1.859
2023-09-21,Gazole,1.999
2023-10-14,Gazole,1.849
2023-10-20,E10,1.788
2023-10-18,Gazole,1.849
2023-10-17,Gazole,1.949
2023-10-14,E10,1.829
2023-10-17,SP95,1.859
2023-10-20,SP98,1.979
2023-10-20,E10,1.849
2023-10-07,SP98,1.924
2023-10-20,GPLc,0.964
2023-10-18,E85,0.952
2023-10-14,Gazole,1.875
2023-10-20,SP98,1.891
2023-09-08,GPLc,0.99
2023-10-18,SP98,1.859
2023-09-25,Gazole,1.905
2023-10-19,Gazole,1.827
2023-10-13,SP98,1.899
2023-10-16,E10,1.78
2023-10-16,SP98,1.867
2023-10-14,Gazole,1.889
2023-10-20,E10,1.79
2023-10-19,SP98,1.84
2023-10-18,SP95,1.891
2023-10-19,Gazole,1.872
2023-10-09,SP98,1.929
2023-10-18,E10,1.785
2023-10-20,E10,1.935
2023-10-20,E85,0.944
2023-10-16,SP98,1.929
2023-10-20,E10,1.97
2023-10-04,SP95,2.049
